genotype,dose_level,pantothenic acid,glutathione,isobutyryl carnitine
0,0,288348.8247,0,91259.45684
0,0,296452.862,0,71483.71591
0,0,353492.1509,2225.754654,110929.5855
0,0,341961.6563,0,83584.76407
0,0,283376.9837,24460.99711,96237.36555
0,0,341411.9364,0,43291.9295
0,0,389775.2673,21.40761405,58557.01076
0,0,937155.0025,0,100062.5416
0,0,832026.981,6775.560871,106407.525
0,0,807851.2539,0,90449.03786
0,0,787890.7913,0,82791.72298
0,0,676779.0021,32.21146927,82089.46213
0,1,341629.2527,12457.75416,102218.8499
0,1,351695.5075,0,93264.63988
0,1,304528.4188,0,85828.51013
0,1,378450.7394,0,79773.90344
0,1,396713.3125,0,78699.14534
0,1,305049.0982,0,54544.10604
0,1,861788.0978,0,92824.80676
0,1,978621.5012,0,101881.0637
0,1,809870.2235,6160.11044,102200.0296
0,1,919568.8589,2458.002186,62507.96831
0,1,1096445.943,28.48481137,48191.65585
0,2,1146821.827,85583.78316,93665.24679
0,2,723388.1891,813.3238599,74918.12294
0,2,1010295.98,37131.58943,93169.55545
0,2,822578.6625,269.0190883,90236.9986
0,2,1158340.612,22.07607351,118443.2043
0,2,329088.1164,292263.1098,122329.2547
0,2,352464.9435,750.2614508,100711.3439
0,2,410172.0922,487.2672735,94213.98537
0,2,411629.6583,0,59761.72009
0,2,330757.0266,0,142160.8419
0,2,387029.3741,0,64639.5343
0,2,275571.9601,0,72443.9346
0,2,348357.9852,0,65393.69197
0,3,420135.7917,289.1674773,96789.05992
0,3,389755.6101,0,78899.57121
0,3,480569.3747,2350.218804,64360.19062
0,3,246346.636,126.2884247,48680.06304
0,3,446382.8565,0,89928.1019
0,3,383058.4915,0,83893.06879
0,3,963688.5135,1738.073291,117070.1584
0,3,1082744.216,6111.547434,127990.7798
0,3,704793.8682,85453.26481,37728.05168
0,3,913354.115,87.01103659,48804.81208
0,3,718679.1628,87.01795674,86609.1407
1,0,242115.4078,5116.197495,72602.70542
1,0,297271.0769,0,84238.58973
1,0,360460.0585,0,104737.1963
1,0,275940.6632,55.0591444,56030.35138
1,0,937348.4293,16965.19414,108814.2321
1,0,810409.3271,0,84939.78306
1,0,878036.1208,0,93710.43703
1,0,724489.6745,2102.852697,125621.094
1,0,874635.8923,0,96592.07745
1,0,939105.1436,0,64579.72227
1,1,843102.3699,111088.2152,113202.5405
1,1,878890.0475,0,104501.2543
1,1,830839.2951,0,103946.4299
1,1,682031.5522,160.0920325,46987.81908
1,1,759464.0157,0,94925.77653
1,1,993507.3199,0,98546.10369
1,1,940613.6718,0,53759.09405
1,1,307909.4901,0,104433.1506
1,1,401603.8427,0,86353.72722
1,1,389476.481,23207.75779,111792.8601
1,1,354208.9718,0,66474.42432
1,1,328171.9462,17.03650938,85521.6626
1,2,278623.4681,0,92981.84704
1,2,293412.4377,0,107447.1188
1,2,361466.6808,0,88366.62067
1,2,267315.3995,60753.43617,90355.37382
1,2,476702.8947,0,104229.4228
1,2,732699.1814,2859.742375,99574.61492
1,2,820645.0645,0,91895.09098
1,2,807473.9494,0,83602.58248
1,2,1067827.315,1648.179195,83102.03316
1,2,846526.1821,60.81300544,72411.98356
1,2,928421.6417,6258.83981,77784.54854
1,3,821711.0533,0,56117.08216
1,3,871642.1791,362.2960789,60614.00205
1,3,792852.5268,63.2207347,59712.6105
1,3,811022.5182,1801.860623,105248.2395
1,3,864705.9012,353.2198218,80670.9752
1,3,417323.5268,84.46137041,62173.00339
1,3,295083.4101,27499.76421,102839.8974
1,3,367996.9115,0,93591.20238
1,3,417059.9508,0,48794.83177
1,3,370915.3648,0,108081.9562
